"week_ending","location","region","avg_price_nonorg","total_nonorg_units","total_nonorg_bag_units","total_org_units","total_org_bag_units","plu4046","plu4225","plu4770","small_nonorg_bag","large_nonorg_bag","xlarge_nonorg_bag","avg_price_org","plu94046","plu94225","plu94770","small_org_bag","large_org_bag","xlarge_org_bag","bulk_nonorg_gtin","bulk_org_gtin"
2017-01-02,"Albany","Northeast",1.47,129948.23,7874.69,1376.7,1112.42,4845.77,117027.41,200.36,7866.86,7.83,0,1.87,71.65,192.63,0,1112.42,0,0,NA,NA
2017-01-02,"Atlanta","Southeast",0.93,547565.88,204228.49,5342.85,1523.17,224073.54,118926.37,337.48,111599.58,92628.91,0,1.81,956.73,2862.95,0,5.55,1517.62,0,NA,NA
2017-01-02,"Baltimore/Washington","Midsouth",1.47,631760.81,153891.12,13901.46,5857.48,54530.42,408952.26,14387.01,151345.59,2542.41,3.12,1.92,1420.47,6298.07,325.44,5857.48,0,0,NA,NA
2017-01-02,"Boise","West",0.92,104510.11,55914.28,2823.82,2455.19,27845.16,9408.92,11341.75,53093.47,2793.61,27.2,1.05,0,368.63,0,577.91,1877.28,0,NA,NA
2017-01-02,"Boston","Northeast",1.29,458830.49,79553.53,13438.22,11241.89,4119.9,371223.34,3933.72,79339.78,213.75,0,2.06,14.8,2181.53,0,10636.25,605.64,0,NA,NA
2017-01-02,"Buffalo/Rochester","Northeast",1.43,105349.04,45429.09,3425.49,3096.41,1285.48,58531.95,102.52,45155.38,255.65,18.06,1.64,8.52,320.56,0,2585.1,511.31,0,NA,NA
2017-01-02,"Charlotte","Midsouth",1.21,217051.5,59678.05,7225.07,3480.44,47765.32,94571.69,15036.44,45920.26,13711.12,46.67,1.7,120.83,3134.68,489.12,3126.49,353.95,0,NA,NA
2017-01-02,"Chicago","Great Lakes",1.15,803348.87,69718.37,36915.87,2802.63,87695.7,531287.44,114647.36,63550.62,1078.38,5089.37,1.34,36.67,34076.57,0,2802.63,0,0,NA,NA
2017-01-02,"Cincinnati/Dayton","Great Lakes",0.64,329279.29,193850.95,10798.25,1888.34,2646.83,130250.6,2530.91,30669.35,163180.08,1.52,1.23,351.72,8558.19,0,293.33,1595.01,0,NA,NA
2017-01-02,"Columbus","Great Lakes",0.83,218881.63,76629.54,5948.66,2451.4,87684.11,50243.59,4324.39,73432.68,3196.86,0,1.58,772.98,2724.28,0,2273.79,177.61,0,NA,NA
2017-01-02,"Dallas/Ft. Worth","South Central",0.68,1336539.2,367515.01,15669.84,11247.06,526727.72,438041.57,4254.9,364446.02,2152.59,916.4,1.06,4110.67,312.11,0,11137.36,109.7,0,NA,NA
2017-01-02,"Denver","West",0.8,959368.84,471872.59,21449.37,16564.48,138364.14,336467.73,12664.38,310280.15,161495.22,97.22,0.91,4103.45,775.73,5.71,3485.79,13078.69,0,NA,NA
2017-01-02,"Detroit","Great Lakes",0.75,480612.79,196384.88,7545.82,386.98,100364.1,165059.57,18804.24,194306.37,2054.18,24.33,1.77,593.56,6565.28,0,280,106.98,0,NA,NA
2017-01-02,"Grand Rapids","Great Lakes",0.77,306129.4,72554.79,1095.77,273.33,1217.67,224774.25,7582.69,68737.04,3714.24,103.51,1.79,84.21,738.23,0,263.33,10,0,NA,NA
2017-01-02,"Harrisburg/Scranton","Northeast",1.35,235430.29,57099.03,5456.54,5004.63,41800.77,136109.66,420.83,52817.14,4281.89,0,1.93,255.89,189.26,6.76,5004.63,0,0,NA,NA
2017-01-02,"Hartford/Springfield","Northeast",1.64,232663.88,39087.84,11977.13,4115.36,2772.36,188107.91,2695.77,38034.62,919.42,133.8,2.44,152.32,7697.1,12.35,3947.64,167.72,0,NA,NA
2017-01-02,"Houston","South Central",0.51,1475741.07,193803.25,10109.46,2499.86,985040.19,290583.75,6313.88,62497.42,131305.83,0,1.4,7550.89,58.71,0,2499.86,0,0,NA,NA
2017-01-02,"Indianapolis","Great Lakes",0.91,186464.64,67288.78,1956,783.34,16193.14,97953.5,5029.22,39169.93,28118.85,0,1.76,147.29,1025.37,0,614.99,168.35,0,NA,NA
2017-01-02,"Jacksonville","Southeast",0.81,263730.05,121607.44,3707.67,3421.54,94909.67,46910.39,302.55,35501.09,86106.35,0,1.24,245.43,38.31,2.39,910,2511.54,0,NA,NA
2017-01-02,"Las Vegas","West",0.77,363865.19,185748.86,9563.83,5615.41,95268.03,75111.35,7736.95,62603.76,123145.1,0,1.36,997.48,2950.94,0,5478.55,136.86,0,NA,NA
2017-01-02,"Los Angeles","California",0.84,3551337.17,1441332.35,99950.32,55166.16,1223299.39,829896.69,56808.74,1332601.11,88931.96,19799.28,1.07,15830.84,28951.76,1.56,43159.57,12006.59,0,NA,NA
2017-01-02,"Louisville","Midsouth",0.77,110696.17,47918.44,1913.69,513.34,1692.13,60441.72,643.88,12573.63,35198.14,146.67,1.59,5.04,1395.31,0,513.34,0,0,NA,NA
2017-01-02,"Miami/Ft. Lauderdale",NA,0.98,787406.1,277538.12,5253.5,4942.72,309692.08,199635.67,540.23,84253.42,193284.7,0,1.21,290.61,20.17,0,1970,2972.72,0,NA,NA
2017-01-02,"Nashville","Midsouth",0.73,249074.81,109586.47,3749.48,449.7,112089.34,27327.66,71.34,87099.25,20952.22,1535,1.53,210.85,3088.93,0,62.22,387.48,0,NA,NA
2017-01-02,"New Orleans/Mobile","South Central",0.81,318672.94,100205.62,2818.22,2680.71,175385.65,42839.67,242,68817.75,24039.54,7348.33,1.3,125.73,11.78,0,1947.5,733.21,0,NA,NA
2017-01-02,"New York","Northeast",1.44,940983.17,239496.73,39260.55,12057.71,10498.68,668183.16,22804.6,208504.55,30684.59,307.59,2.06,6071.7,20105.65,1025.49,11934.77,122.94,0,NA,NA
2017-01-02,"Northern New England","Northeast",1.11,476239.03,37466.32,9214.09,9076.99,20667.36,414792.25,3313.1,37466.32,0,0,1.91,6.23,130.87,0,9076.99,0,0,NA,NA
2017-01-02,"Orlando","Southeast",0.95,447083.97,170066.18,5686.95,5102.21,166581.9,110283.97,151.92,61681.31,108384.87,0,1.28,558.15,26.59,0,2530,2572.21,0,NA,NA
2017-01-02,"Philadelphia","Northeast",1.4,321941.32,88635.94,8600.66,3728.67,12767.25,217447.76,3090.37,83428.92,5163.19,43.83,1.98,1221.92,3644.99,5.08,3703.42,25.25,0,NA,NA
2017-01-02,"Phoenix/Tucson","West",0.63,1169638.17,268641.81,7740.98,2553.15,560445.04,325471.67,15079.65,117177.54,151421.21,43.06,1.88,2155.99,3030.64,1.2,2547.83,5.32,0,NA,NA
2017-01-02,"Pittsburgh","Northeast",1.02,141043.91,37562.67,9725.08,8747.79,58724.08,42203.79,2553.37,28298.47,9264.2,0,1.5,953.37,23.92,0,8432.66,315.13,0,NA,NA
2017-01-02,"Portland","West",0.73,869835.55,486819.55,31827.5,23976.58,100273.33,269506.85,13235.82,468972.79,17284.95,561.81,0.99,4842.14,3008.78,0,173.02,23803.56,0,NA,NA
2017-01-02,"Raleigh/Greensboro","Midsouth",1.18,283434.01,69190.43,8038.22,4459.87,74754.07,125855.56,13633.95,66525.85,2664.58,0,1.78,121.25,3157.17,299.93,4271.94,187.93,0,NA,NA
2017-01-02,"Richmond/Norfolk","Midsouth",1.11,240752.75,67244.68,4920.41,1895.76,82444.88,85577.58,5485.61,65961.19,1104.32,179.17,1.62,584.97,2230.14,209.54,1895.76,0,0,NA,NA
2017-01-02,"Roanoke","Midsouth",0.97,142347.9,55950.74,3969.98,1419.71,43011.78,43260.01,125.37,55319.62,535.56,95.56,1.51,212.55,2337.72,0,1257.08,162.63,0,NA,NA
2017-01-02,"Sacramento","California",0.98,526765.64,41564.2,5635.27,364.22,144876.31,339664.16,660.97,37920.98,2018.22,1625,2.24,1906.72,3364.33,0,364.22,0,0,NA,NA
2017-01-02,"San Diego","California",0.93,560310.35,189448.58,15752.25,5748.79,149666.2,206181.12,15014.45,150517.04,37802.65,1128.89,1.45,1385.18,8618.28,0,957.31,4791.48,0,NA,NA
2017-01-02,"San Francisco","California",0.95,1047175.33,66958.27,19910.51,2189.29,260100.73,717625.67,2490.66,60397.91,5515.08,1045.28,2.54,7268.66,10452.56,0,2189.29,0,0,NA,NA
2017-01-02,"Seattle","West",0.84,822000.04,474004.3,41381.43,29678.65,79598.76,267691.37,705.61,469004.72,4461.1,538.48,1.23,486.56,11213.59,2.63,510.07,29168.58,0,NA,NA
2017-01-02,"South Carolina","Midsouth",1,402162.87,124854.64,6866.1,3549.58,166822.96,105262.07,5223.2,57344.89,67509.75,0,1.67,296.57,2833.99,185.96,2687.3,862.28,0,NA,NA
2017-01-02,"Spokane","West",0.87,115041.61,59123.39,2869.96,2055.47,11707.17,43700.05,511,58631.06,415.97,76.36,1.21,69.23,745.26,0,7.92,2047.55,0,NA,NA
2017-01-02,"St. Louis","Plains",1.11,144323.7,43702.75,5850.8,3774.01,90181.75,10226.35,212.85,39615.42,4087.33,0,1.46,1662.86,413.93,0,716.11,3057.9,0,NA,NA
2017-01-02,"Syracuse","Northeast",1.55,64284.03,16241.01,1811.03,1761.9,853.31,47182.71,7,16175.8,65.21,0,1.7,6.3,42.83,0,1263.57,498.33,0,NA,NA
2017-01-02,"Tampa","Southeast",0.93,578061.29,224912.37,5905.05,5581.06,202816.81,150261.06,71.05,87852.78,137059.59,0,1.22,287.57,36.42,0,3530,2051.06,0,NA,NA
2017-01-02,"West Tex/New Mexico","West",0.75,819748.75,312866.29,15307.87,10968.89,394004.15,96731.03,16147.28,134847.67,178016.4,2.22,1.28,867.66,3434.02,37.3,10815.88,153.01,0,NA,NA
2017-01-08,"Albany","Northeast",1.55,91728.18,12674.57,2229.52,1687.75,3355.47,75641.23,56.91,12606.67,67.9,0,1.94,63.46,478.31,0,1687.75,0,0,NA,NA
2017-01-08,"Atlanta","Southeast",0.98,601546.19,244202.82,8244.17,1471.6,279265.77,77758.24,319.36,172510.89,71691.93,0,1.74,1456,5316.57,0,0,1471.6,0,NA,NA
2017-01-08,"Baltimore/Washington","Midsouth",1.14,1029279.83,186202.48,17989.43,8539.96,83249.92,750033.84,9793.59,183395.1,2281.83,525.55,1.85,1325.19,7679.48,444.8,8534.42,5.54,0,NA,NA
2017-01-08,"Boise","West",1.02,103788.25,48885.16,4137.35,3549.27,35596.88,7162.53,12143.68,40257.37,8607.03,20.76,1.04,3,585.08,0,632.37,2916.9,0,NA,NA
2017-01-08,"Boston","Northeast",1.09,730358.49,107889.36,17555.2,16412.77,7543.51,605624.94,9300.68,107796.03,93.33,0,1.95,8.39,1134.04,0,15137.23,1275.54,0,NA,NA
2017-01-08,"Buffalo/Rochester","Northeast",1.37,158267.23,72788.27,3247.37,3058.95,1506.69,83906.44,65.83,72703.02,85.25,0,1.73,13.4,175.02,0,2000.75,1058.2,0,NA,NA
2017-01-08,"Charlotte","Midsouth",1.28,219338.92,72165.82,11737.62,6425.42,56739.54,80201.7,10231.86,63539.28,8626.54,0,1.49,235.17,4456.81,620.22,5971.02,454.4,0,NA,NA
2017-01-08,"Chicago","Great Lakes",1.16,822522.24,91609.12,28099.34,4135.27,79629.99,499835.88,151447.25,81467.82,1420.05,8721.25,1.81,70.76,23893.31,0,4135.27,0,0,NA,NA
2017-01-08,"Cincinnati/Dayton","Great Lakes",0.82,285027.21,152921.98,12346.01,5220.81,4147.01,126967.13,991.09,33746.17,118612.86,562.95,1.07,323.43,6801.77,0,654.36,4566.45,0,NA,NA
2017-01-08,"Columbus","Great Lakes",0.86,226219.71,84768.49,4991.69,2279.73,105022.53,34667.4,1761.29,81562.73,3205.76,0,1.56,579.67,2132.29,0,2139.81,139.92,0,NA,NA
2017-01-08,"Dallas/Ft. Worth","South Central",0.78,1247488.6,344998.16,24031.65,18036.79,556814.8,343124.23,2551.41,341681.22,3247.62,69.32,1.02,4931,1063.86,0,17898.83,137.96,0,NA,NA
2017-01-08,"Denver","West",0.92,844689.96,409947.81,39403.42,28989.84,169103.67,249167.67,16470.81,247424.23,162523.58,0,0.8,8720.61,1639.28,53.69,3473.4,25516.44,0,NA,NA
2017-01-08,"Detroit","Great Lakes",0.9,470643.79,229143.84,8156.07,1656.68,157160.74,76519.91,7819.3,225725.06,3415.32,3.46,1.74,751.53,5747.86,0,973.89,682.79,0,NA,NA
2017-01-08,"Grand Rapids","Great Lakes",1.26,174079.23,67636.01,2650.61,550,1225.77,102134.85,3082.6,60761.6,6851.61,22.8,1.52,108.05,1992.56,0,550,0,0,NA,NA
2017-01-08,"Harrisburg/Scranton","Northeast",1.3,275064.65,69623.79,7366.35,6727.43,51590.9,153751.13,98.83,67890.58,1733.21,0,1.95,403.32,226.87,8.73,6723.31,4.12,0,NA,NA
2017-01-08,"Hartford/Springfield","Northeast",1.25,369468.59,48583.99,9880.58,5761.24,5105.33,315473.05,306.22,47415.32,1168.67,0,2.43,38.45,4063.04,17.85,5593.41,167.83,0,NA,NA
2017-01-08,"Houston","South Central",0.57,1417208.02,282900.41,20116.95,11028.34,933181.79,198434.84,2690.98,190479.48,92420.93,0,1.07,9041.57,47.04,0,11028.34,0,0,NA,NA
2017-01-08,"Indianapolis","Great Lakes",0.86,222849.42,89599.44,2916.96,1429.47,17783.95,112339.02,3127.01,41838.55,47759.42,1.47,1.6,189.89,1297.6,0,1278.26,151.21,0,NA,NA
