"region","week_ending","avg_price_nonorg","plu4046","plu4225","plu4770","small_nonorg_bag","large_nonorg_bag","xlarge_nonorg_bag","avg_price_org","plu94046","plu94225","plu94770","small_org_bag","large_org_bag","xlarge_org_bag"
"California",2017-01-02,0.89,2266313.37,2877688.31,90899.53,1762033.74,151333.95,27007.76,1.46,31267.65,65430.27,6.16,50963.98,16468.98,0
"Great Lakes",2017-01-02,0.88,636277.7,2157249.6,189356.95,885769.21,349032.8,7559.14,1.44,4104.86,69800.29,0,23593.03,6655.73,0
"Midsouth",2017-01-02,1.12,653896,1285364.27,64703.08,719379.64,151226.51,4398.04,1.72,3353.64,36090.72,1813.6,29203.33,1826.5,0
"Northeast",2017-01-02,1.35,174842.62,2589315.66,39606.96,659611.76,49532.71,478.61,2,9132.13,36276.39,923.53,65447.53,3476.51,0
"Plains",2017-01-02,0.83,1462454.22,509659.58,4780.52,387097.97,13008.21,5742.12,1.62,4547.17,15245.73,1366.36,17253.74,8629.21,0
"South Central",2017-01-02,0.64,3587283.29,1719720.01,27548.73,1105953.16,230434.03,16334.42,1.23,22474.95,4797.17,17.37,37358.81,1968.24,0
"Southeast",2017-01-02,0.94,1826477.14,1085898.73,9296.67,731587.7,1000752.82,1883.89,1.43,4157.31,9930.6,262.28,15637.05,19790.32,0
"West",2017-01-02,0.79,2100350.66,1976304.53,123652.12,2299700.47,857388.28,3529.78,1.19,20783.06,35758.45,36.46,33998.5,99124.23,0
"California",2017-01-08,1,1988635.39,2569566.25,109029.01,1807926.97,144375.5,33515.09,1.5,33563.39,69671.75,4.62,69842.47,4695.17,0
"Great Lakes",2017-01-08,0.99,725716.77,1755106.4,195159.52,1010322.96,367740.51,13088.8,1.55,4237.93,57604.54,0,28785.23,9507.07,0
"Midsouth",2017-01-08,1.11,777266.14,1624949.84,45093.12,873053.26,130291.21,4166.4,1.61,3638.19,41242.82,2265.14,40878.78,2478.88,0
"Northeast",2017-01-08,1.25,203756.33,3517891.27,29359.1,882013.66,58723.55,193.59,1.99,10600.01,29899.55,310.93,86129.69,5139.29,0
"Plains",2017-01-08,1.06,915300.05,479607.98,5628.26,450604.75,32676.07,6572.67,1.67,4527.73,18578.92,5649.58,21617.03,5937.17,0
"South Central",2017-01-08,0.74,3529761.56,1305030.08,18206.06,1296031.4,183062.26,15873.43,1.1,26212.5,6181.32,0,69782.27,2248.79,0
"Southeast",2017-01-08,1.17,1510770.18,635042.26,5892.48,818150.8,540435.37,1840,1.41,5147.21,14914.5,341.38,20688.4,20696.54,0
"West",2017-01-08,0.86,2158521.28,1969740.61,130700.84,2194867.87,974954.56,3590.98,1.09,29794.9,45439.29,125.69,41364.31,150978.8,0
"California",2017-01-15,0.93,2075029.62,2450277.12,95137.62,1910596.03,99912.91,25601.06,1.66,27811.48,58090.25,3.08,55364.11,1470.29,0
"Great Lakes",2017-01-15,1.05,667328.63,1705655.8,182713.77,878109.85,449340.86,10071.96,1.7,4370.03,67260.09,0,25703.71,6153.89,0
"Midsouth",2017-01-15,1.23,693675.19,1293221.45,43787.1,876946.57,125271.44,1418.49,1.67,3414.04,43794.8,2191.38,37053.18,1826.16,0
"Northeast",2017-01-15,1.36,203358.77,2913734.21,96705.28,969744.48,64997.68,2418.13,1.94,9284.34,31877.36,128.08,91994.71,1556.32,0
"Plains",2017-01-15,1.05,925668.48,529337.88,6259.33,545116.32,46315.29,11496.72,1.56,5384.45,18694.14,5562.78,23848.37,11187.72,0
"South Central",2017-01-15,0.68,4335593.06,1264050.32,18959.07,1360058.7,110035.17,15029.82,1.06,22335.2,6350.11,0,78546.46,1785.48,0
