"week_ending","avg_price_nonorg","total_nonorg_units","plu4046","plu4225","plu4770","total_nonorg_bag_units","small_nonorg_bag","large_nonorg_bag","xlarge_nonorg_bag","avg_price_org","total_org_units","plu94046","plu94225","plu94770","total_org_bag_units","small_org_bag","large_org_bag","xlarge_org_bag","bulk_nonorg_gtin","bulk_org_gtin"
2017-01-02,0.89,38879716.85,12707894.99,14201200.68,549844.57,11420776.61,8551133.56,2802709.32,66933.73,1.48,808971.88,99820.77,273329.61,4425.75,431395.75,273456,157939.75,0,NA,NA
2017-01-08,0.99,38049802.62,11809727.7,13856934.7,539068.39,11844071.83,9332971.74,2432259.13,78840.96,1.43,990721.83,117721.87,283532.68,8697.35,580769.93,379088.19,201681.74,0,NA,NA
2017-01-15,0.98,38295488.31,12936858.36,12625665.39,579346.52,12153618.04,9445622.04,2638918.48,69077.52,1.44,975724.28,121132.79,280287.84,8750.08,565553.57,400292.46,165261.11,0,NA,NA
2017-01-22,0.94,42140393.39,14254150.46,14212881.66,908616.41,12764744.86,9462853.82,3231019.56,70871.48,1.37,994282.98,115700.02,281786.33,6707.82,590088.81,401805.9,188282.91,0,NA,NA
2017-01-29,0.96,39373579.25,14034075.77,11683464.54,818727.02,12837311.92,9918255.52,2799960.74,119095.66,1.43,953206.1,131808.29,292584.44,3524.96,525288.41,346391.91,178896.5,0,NA,NA
2017-02-05,0.77,61034457.1,22743616.17,20328161.55,1664383.09,16298296.29,12567155.58,3618270.75,112869.96,1.36,1015621.03,136100.39,314011.26,2238.78,563270.6,342705.32,220565.28,0,NA,NA
2017-02-12,0.87,41077470.65,15051951.54,12184188.37,862322.15,12979008.59,9922489.84,2919324.45,137194.3,1.41,1060775.98,136636.34,297764.4,3486.2,622889.04,410668.26,212220.78,0,NA,NA
2017-02-19,0.99,33905854.58,11321732.4,10351148.2,832906.12,11400067.86,8676989.56,2576166.71,146911.59,1.31,1634877.11,250591.21,632101.53,3295.09,748889.28,433926.87,314962.41,0,NA,NA
2017-02-26,0.99,37007797.69,13173668.36,11398142.68,896761.77,11539224.88,8945888.88,2405733.76,187602.24,1.21,1436663.15,150448.17,368526.18,3747.77,913941.03,505040.3,408900.73,0,NA,NA
2017-03-05,1.13,33684175.01,11335275.58,10807889.59,795173.2,10745836.64,8302600.77,2322677.19,120558.68,1.16,39054.83,3021.26,15568.68,11.77,20453.12,20299.52,153.6,0,NA,NA
2017-03-12,1.22,32020573.94,11228357.23,9575227.17,727233.05,10489756.49,8207585.25,2124294.41,157876.83,1.23,24969.3,2292.42,4876.69,52.82,17747.37,17114.89,632.48,0,NA,NA
2017-03-19,1.25,31595125.23,10975689.78,9622711.73,638217.85,10358505.87,8202242.37,2000176.08,156087.42,1.16,308051.18,45583.97,54904.68,102.54,207459.99,112615.83,94844.16,0,NA,NA
2017-03-26,1.24,32555119.32,11737559.6,9664310.82,611105.54,10542143.36,8498317.81,1844371.94,199453.61,1.24,274558.89,38225.62,50707.86,64.73,185560.68,106162.68,79398,0,NA,NA
2017-04-02,1.21,34468017.36,12245520.55,9733584.68,624709.69,11864202.44,9385516.28,2330300.27,148385.89,0.9,456645.91,36169.35,51398.72,139.55,368938.29,152159.53,216778.76,0,NA,NA
2017-04-09,1.21,34785712.55,12091315.22,10821096.24,647969.03,11225332.06,8946792.83,2098142.94,180396.29,0.98,402676.23,34093.33,58330.53,207.85,310044.52,155701.41,154343.11,0,NA,NA
2017-04-16,1.23,35182320.78,12311055.17,10069354.29,650017.26,12151894.06,9399104.79,2544942.74,207846.53,1.18,348836.42,36813.79,54408.17,176.1,257438.36,145063.53,112374.83,0,NA,NA
2017-04-23,1.18,35729013.92,12236713.41,10224484.11,613507.38,12654309.02,9051466.83,3434846.78,167995.41,1.23,329223.21,47412.22,51720.12,200.73,229890.14,116527.51,113362.63,0,NA,NA
2017-04-30,1.18,38315500.43,13316594.36,11291149.13,667996.83,13039760.11,9463810.58,3378923.98,197025.55,1.26,296559.24,43410.75,50687.37,368.72,202092.4,92126.06,109966.34,0,NA,NA
