Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Albany,Weekly,"2023-01-09 00:00:00",Conventional,1.050995979,135146.28,31082.74,77685.99,24.72,26352.83,,,
Atlanta,Weekly,"2023-01-09 00:00:00",Conventional,0.902511753,843885.05,527420.98,207005.81,223.46,109234.80,,,
Baltimore/Washington,Weekly,"2023-01-09 00:00:00",Conventional,1.145056290,1240087.94,336378.42,439241.05,1972.40,462496.07,,,
Birmingham/Montgomery,Weekly,"2023-01-09 00:00:00",Conventional,0.831818796,416639.10,290756.04,36301.07,30.37,89551.62,,,
Boise,Weekly,"2023-01-09 00:00:00",Conventional,0.995045264,109901.20,59855.75,30973.49,189.03,18882.93,,,
Boston,Weekly,"2023-01-09 00:00:00",Conventional,1.283623036,640056.63,60474.83,417761.53,105.76,161714.51,,,
Buffalo/Rochester,Weekly,"2023-01-09 00:00:00",Conventional,0.995155392,246821.36,54663.24,59195.21,1119.57,131843.34,,,
Charlotte,Weekly,"2023-01-09 00:00:00",Conventional,1.073459358,422134.21,186773.00,58682.03,597.24,176081.94,,,
Chicago,Weekly,"2023-01-09 00:00:00",Conventional,0.980688346,1176622.07,667592.71,143566.88,77856.05,287606.43,,,
Cincinnati/Dayton,Weekly,"2023-01-09 00:00:00",Conventional,0.993615816,337332.50,105147.01,168259.35,4819.34,59106.80,,,
Columbus,Weekly,"2023-01-09 00:00:00",Conventional,0.957984852,284241.55,125403.11,89722.12,3658.03,65458.29,,,
"Dallas/Ft. Worth",Weekly,"2023-01-09 00:00:00",Conventional,0.784883715,1486871.19,675101.42,294455.56,28197.13,489117.07,,,
Denver,Weekly,"2023-01-09 00:00:00",Conventional,0.906343699,903427.04,297722.44,329055.33,20959.55,255689.71,,,
Detroit,Weekly,"2023-01-09 00:00:00",Conventional,0.959934192,487206.59,172113.38,145739.68,30168.96,139184.57,,,
"Grand Rapids",Weekly,"2023-01-09 00:00:00",Conventional,1.134390806,195185.52,49256.23,35894.35,25646.50,84388.45,,,
Harrisburg/Scranton,Weekly,"2023-01-09 00:00:00",Conventional,1.036735606,457122.72,199871.92,101908.85,13774.41,141567.54,,,
Hartford/Springfield,Weekly,"2023-01-09 00:00:00",Conventional,1.270471446,391832.45,64463.13,229992.51,438.52,96938.29,,,
Houston,Weekly,"2023-01-09 00:00:00",Conventional,0.796077436,1006099.11,460336.06,300017.66,6305.98,239439.41,,,
Indianapolis,Weekly,"2023-01-09 00:00:00",Conventional,0.898799713,289885.54,123687.29,87051.01,7045.88,72101.36,,,
Jacksonville,Weekly,"2023-01-09 00:00:00",Conventional,0.936242001,292093.72,220508.12,7225.69,16.09,64343.82,,,
"Las Vegas",Weekly,"2023-01-09 00:00:00",Conventional,0.892853860,423264.49,99659.15,211409.14,2445.74,109750.47,,,
"Los Angeles",Weekly,"2023-01-09 00:00:00",Conventional,1.116494155,3037533.84,1611172.32,98318.75,708758.08,619284.69,,,
Louisville,Weekly,"2023-01-09 00:00:00",Conventional,0.942480085,153285.95,52540.84,62273.13,1727.25,36744.73,,,
"Miami/Ft. Lauderdale",Weekly,"2023-01-09 00:00:00",Conventional,0.908830735,1231339.88,867656.16,50243.11,1784.52,311656.10,,,
Nashville,Weekly,"2023-01-09 00:00:00",Conventional,0.864003245,367053.12,185950.88,80030.24,155.34,100916.67,,,
"Northern New England",Weekly,"2023-01-09 00:00:00",Conventional,1.045846259,493380.96,110490.09,294677.08,74.53,88139.26,,,
"New Orleans/Mobile",Weekly,"2023-01-09 00:00:00",Conventional,0.781227160,341956.74,195117.30,6291.11,1285.29,139263.05,,,
"New York",Weekly,"2023-01-09 00:00:00",Conventional,1.213407074,2181386.58,418032.68,1098410.06,19531.00,645412.83,,,
Orlando,Weekly,"2023-01-09 00:00:00",Conventional,0.879259666,723695.83,459824.49,15014.78,17.01,248839.54,,,
Peoria/Springfield,Weekly,"2023-01-09 00:00:00",Conventional,0.825045463,165614.04,91580.90,20765.56,3767.08,49500.50,,,
Philadelphia,Weekly,"2023-01-09 00:00:00",Conventional,1.024089363,724457.08,225199.64,222166.71,11311.85,265778.88,,,
Phoenix/Tucson,Weekly,"2023-01-09 00:00:00",Conventional,0.814132903,1347491.36,489956.78,678862.92,3935.46,174736.21,,,
Pittsburgh,Weekly,"2023-01-09 00:00:00",Conventional,1.023187184,207241.16,118185.21,16704.87,88.88,72262.20,,,
Portland,Weekly,"2023-01-09 00:00:00",Conventional,1.097562519,610225.94,292123.31,205273.04,27446.59,85383.00,,,
Providence,Weekly,"2023-01-09 00:00:00",Conventional,1.240146924,106950.14,15582.96,67930.21,16.78,23420.18,,,
Raleigh/Greensboro,Weekly,"2023-01-09 00:00:00",Conventional,1.095050897,489093.61,207912.43,78600.33,702.89,201877.96,,,
Richmond/Norfolk,Weekly,"2023-01-09 00:00:00",Conventional,0.984210209,353256.94,150251.36,91723.92,305.92,110975.75,,,
Roanoke,Weekly,"2023-01-09 00:00:00",Conventional,0.902966028,201110.37,103926.92,38812.77,414.07,57956.61,,,
Sacramento,Weekly,"2023-01-09 00:00:00",Conventional,1.229094137,482044.93,264260.98,88909.91,6600.26,122273.78,,,
"San Diego",Weekly,"2023-01-09 00:00:00",Conventional,1.148418269,564934.81,321216.06,34333.68,92066.24,117318.82,,,
"San Francisco",Weekly,"2023-01-09 00:00:00",Conventional,1.094652687,923084.25,709958.73,77863.60,7863.41,127398.51,,,
Seattle,Weekly,"2023-01-09 00:00:00",Conventional,1.174894530,585952.62,248205.53,241942.88,19022.32,76781.89,,,
"South Carolina",Weekly,"2023-01-09 00:00:00",Conventional,0.963077000,596075.32,334267.65,86700.57,367.79,174739.31,,,
Spokane,Weekly,"2023-01-09 00:00:00",Conventional,0.972362718,93571.23,41947.25,32570.97,18.82,19034.19,,,
"St. Louis",Weekly,"2023-01-09 00:00:00",Conventional,0.801042969,299135.05,187121.91,13614.81,11.55,98386.77,,,
Syracuse,Weekly,"2023-01-09 00:00:00",Conventional,0.971487264,111703.62,27951.48,38161.01,231.24,45359.90,,,
Tampa,Weekly,"2023-01-09 00:00:00",Conventional,0.859972106,780491.95,527906.11,14931.39,84.10,237570.34,,,
Toledo,Weekly,"2023-01-09 00:00:00",Conventional,0.950713500,151280.54,56377.63,50791.18,6498.66,37613.07,,,
"West Tex/New Mexico",Weekly,"2023-01-09 00:00:00",Conventional,0.782065691,939840.47,440094.90,166840.59,4747.50,328157.48,,,
Wichita,Weekly,"2023-01-09 00:00:00",Conventional,0.776671737,126135.02,72058.91,20237.79,48.30,33790.03,,,
California,Weekly,"2023-01-09 00:00:00",Conventional,1.131053700,6365472.39,3783691.00,456178.55,900228.48,1225374.35,,,
"Great Lakes",Weekly,"2023-01-09 00:00:00",Conventional,0.951686935,4867109.02,2152755.26,1204186.50,222516.71,1287650.57,,,
Midsouth,Weekly,"2023-01-09 00:00:00",Conventional,1.027265221,4731420.98,1945014.76,1197933.22,10486.78,1577986.22,,,
Northeast,Weekly,"2023-01-09 00:00:00",Conventional,1.159558183,5888492.77,1265993.12,2752904.08,29794.77,1839800.81,,,
Plains,Weekly,"2023-01-09 00:00:00",Conventional,0.896096014,2368782.50,1172374.04,401526.80,5547.57,789334.09,,,
"South Central",Weekly,"2023-01-09 00:00:00",Conventional,0.790955705,5586728.41,2756034.04,933809.78,63524.76,1833359.82,,,
Southeast,Weekly,"2023-01-09 00:00:00",Conventional,0.891354344,6503057.01,4343662.17,508559.08,1231.15,1649604.61,,,
West,Weekly,"2023-01-09 00:00:00",Conventional,0.938073344,6942494.15,2775962.36,2696176.88,107502.14,1362852.77,,,
"Total U.S.",Weekly,"2023-01-09 00:00:00",Conventional,0.979589660,43253557.23,20195486.74,10151274.89,1340832.36,11565963.23,,,
Albany,Weekly,"2023-01-09 00:00:00",Organic,1.568355793,4902.92,237.85,400.47,0.97,4263.63,,,
Atlanta,Weekly,"2023-01-09 00:00:00",Organic,1.089647615,123529.06,497.31,61597.92,0.00,61433.83,,,
Baltimore/Washington,Weekly,"2023-01-09 00:00:00",Organic,1.254170382,96431.24,1728.03,8249.03,12.50,86441.68,,,
Birmingham/Montgomery,Weekly,"2023-01-09 00:00:00",Organic,0.969623944,25436.16,198.70,2288.49,0.00,22948.97,,,
Boise,Weekly,"2023-01-09 00:00:00",Organic,1.677802314,11342.54,154.04,8867.60,0.00,2320.90,,,
Boston,Weekly,"2023-01-09 00:00:00",Organic,1.648653247,37111.83,320.74,2257.74,0.00,34533.35,,,
Buffalo/Rochester,Weekly,"2023-01-09 00:00:00",Organic,1.462467810,19161.81,712.61,58.74,0.00,18390.46,,,
Charlotte,Weekly,"2023-01-09 00:00:00",Organic,1.282089758,32204.68,382.81,2623.72,14.45,29183.70,,,
Chicago,Weekly,"2023-01-09 00:00:00",Organic,1.278846683,81086.55,2968.72,22762.75,0.00,55355.08,,,
Cincinnati/Dayton,Weekly,"2023-01-09 00:00:00",Organic,1.427826624,15152.48,138.52,5292.64,0.00,9721.32,,,
Columbus,Weekly,"2023-01-09 00:00:00",Organic,1.571255429,12859.96,2881.45,1537.02,0.00,8441.49,,,
"Dallas/Ft. Worth",Weekly,"2023-01-09 00:00:00",Organic,1.175198887,58330.45,15542.27,972.92,0.00,41815.27,,,
Denver,Weekly,"2023-01-09 00:00:00",Organic,1.164084677,135097.11,116304.38,1148.50,2.11,17642.11,,,
Detroit,Weekly,"2023-01-09 00:00:00",Organic,1.301658564,24868.43,505.11,5175.26,0.00,19188.06,,,
"Grand Rapids",Weekly,"2023-01-09 00:00:00",Organic,1.143756391,10330.24,193.95,657.36,0.00,9478.93,,,
Harrisburg/Scranton,Weekly,"2023-01-09 00:00:00",Organic,1.275093232,24024.03,454.07,450.37,0.00,23119.59,,,
Hartford/Springfield,Weekly,"2023-01-09 00:00:00",Organic,1.410586133,31167.41,479.90,4047.09,0.00,26640.42,,,
Houston,Weekly,"2023-01-09 00:00:00",Organic,1.027462566,34115.22,9377.86,365.05,0.00,24372.31,,,
Indianapolis,Weekly,"2023-01-09 00:00:00",Organic,1.361337230,11485.23,2530.61,998.44,0.00,7956.18,,,
Jacksonville,Weekly,"2023-01-09 00:00:00",Organic,0.799904026,34583.01,406.21,236.37,0.00,33940.43,,,
"Las Vegas",Weekly,"2023-01-09 00:00:00",Organic,1.262702946,19118.04,5090.04,3566.56,0.00,10461.43,,,
"Los Angeles",Weekly,"2023-01-09 00:00:00",Organic,1.190723426,295384.11,202444.23,4716.90,3655.93,84567.04,,,
Louisville,Weekly,"2023-01-09 00:00:00",Organic,1.596310890,8194.83,2170.19,1737.92,0.00,4286.73,,,
"Miami/Ft. Lauderdale",Weekly,"2023-01-09 00:00:00",Organic,1.109138674,71983.44,4063.83,766.89,0.00,67152.72,,,
Nashville,Weekly,"2023-01-09 00:00:00",Organic,1.178833514,31689.00,9147.41,5711.27,0.00,16830.33,,,
"Northern New England",Weekly,"2023-01-09 00:00:00",Organic,1.851939312,15780.35,2262.35,290.78,0.00,13227.22,,,
"New Orleans/Mobile",Weekly,"2023-01-09 00:00:00",Organic,1.105107763,7325.02,397.84,152.28,0.00,6774.90,,,
"New York",Weekly,"2023-01-09 00:00:00",Organic,1.518152225,131844.20,7433.84,18010.30,92.26,106307.80,,,
Orlando,Weekly,"2023-01-09 00:00:00",Organic,0.862602404,75745.59,1009.46,659.32,0.00,74076.81,,,
Peoria/Springfield,Weekly,"2023-01-09 00:00:00",Organic,1.196768337,8409.65,624.40,1038.67,0.00,6746.58,,,
Philadelphia,Weekly,"2023-01-09 00:00:00",Organic,1.348856108,43198.78,1594.58,3538.66,0.00,38065.55,,,
Phoenix/Tucson,Weekly,"2023-01-09 00:00:00",Organic,1.206658104,35797.43,7751.32,7332.14,0.00,20713.97,,,
Pittsburgh,Weekly,"2023-01-09 00:00:00",Organic,1.160658427,18947.79,2439.40,1.00,0.00,16507.40,,,
Portland,Weekly,"2023-01-09 00:00:00",Organic,1.764901711,88833.51,312.47,74528.07,1.26,13991.71,,,
Providence,Weekly,"2023-01-09 00:00:00",Organic,1.342081756,7458.34,42.86,9.66,0.00,7405.81,,,
Raleigh/Greensboro,Weekly,"2023-01-09 00:00:00",Organic,1.331541950,37521.13,673.05,2117.46,6.09,34724.52,,,
Richmond/Norfolk,Weekly,"2023-01-09 00:00:00",Organic,1.355216784,52438.12,16664.84,5639.12,1.00,30133.15,,,
Roanoke,Weekly,"2023-01-09 00:00:00",Organic,1.494025546,35371.95,16706.63,5946.19,0.00,12719.13,,,
Sacramento,Weekly,"2023-01-09 00:00:00",Organic,1.203044951,37485.22,5805.54,1394.23,0.00,30285.45,,,
"San Diego",Weekly,"2023-01-09 00:00:00",Organic,1.439613279,42169.41,30888.54,1069.17,322.49,9889.21,,,
"San Francisco",Weekly,"2023-01-09 00:00:00",Organic,1.992709040,69029.25,22145.57,3487.78,0.00,43395.89,,,
Seattle,Weekly,"2023-01-09 00:00:00",Organic,1.922337564,119905.35,1629.84,98871.70,23.76,19380.06,,,
"South Carolina",Weekly,"2023-01-09 00:00:00",Organic,1.112161603,66357.48,612.95,14998.99,1.07,50744.48,,,
Spokane,Weekly,"2023-01-09 00:00:00",Organic,1.816842799,8994.34,69.76,6788.51,0.00,2136.07,,,
"St. Louis",Weekly,"2023-01-09 00:00:00",Organic,1.207393105,26741.45,10326.92,3146.70,0.00,13267.84,,,
Syracuse,Weekly,"2023-01-09 00:00:00",Organic,1.432005318,8084.39,427.34,85.02,0.00,7572.03,,,
Tampa,Weekly,"2023-01-09 00:00:00",Organic,1.074422250,38213.61,833.44,399.92,0.00,36980.25,,,
Toledo,Weekly,"2023-01-09 00:00:00",Organic,1.441940376,4877.35,685.18,726.77,0.00,3465.39,,,
"West Tex/New Mexico",Weekly,"2023-01-09 00:00:00",Organic,1.137258421,35348.72,5954.62,1649.18,0.00,27744.92,,,
Wichita,Weekly,"2023-01-09 00:00:00",Organic,1.119348305,4843.46,1630.96,5.82,0.00,3206.67,,,
California,Weekly,"2023-01-09 00:00:00",Organic,1.350250892,534780.29,299265.55,12742.84,4164.19,218607.71,,,
"Great Lakes",Weekly,"2023-01-09 00:00:00",Organic,1.315547354,239999.55,19543.08,45552.24,0.00,174904.23,,,
Midsouth,Weekly,"2023-01-09 00:00:00",Organic,1.307300165,408225.45,57669.47,48922.32,49.02,301584.65,,,
Northeast,Weekly,"2023-01-09 00:00:00",Organic,1.458935647,359316.05,15541.84,22845.69,1.00,320927.51,,,
Plains,Weekly,"2023-01-09 00:00:00",Organic,1.131196786,109421.13,22651.98,4208.57,0.00,82560.58,,,
"South Central",Weekly,"2023-01-09 00:00:00",Organic,1.139699928,201306.16,41369.59,5927.33,0.00,154009.24,,,
Southeast,Weekly,"2023-01-09 00:00:00",Organic,1.010321935,584029.51,10255.49,101903.37,2.23,471868.43,,,
West,Weekly,"2023-01-09 00:00:00",Organic,1.491966203,621969.03,197425.18,266447.60,30.25,158066.01,,,
"Total U.S.",Weekly,"2023-01-09 00:00:00",Organic,1.296786336,3059047.17,663722.17,508549.96,4246.69,1882528.35,,,
Albany,Weekly,"2023-01-15 00:00:00",Conventional,1.015699894,136790.47,31685.79,77496.07,18.40,27590.22,,,
Atlanta,Weekly,"2023-01-15 00:00:00",Conventional,0.897892168,870587.25,618743.63,149829.63,183.79,101830.20,,,
Baltimore/Washington,Weekly,"2023-01-15 00:00:00",Conventional,1.114805421,1246714.37,365189.20,420377.74,1690.09,459457.33,,,
Birmingham/Montgomery,Weekly,"2023-01-15 00:00:00",Conventional,0.822296584,408289.56,272741.13,36255.61,43.77,99249.05,,,
Boise,Weekly,"2023-01-15 00:00:00",Conventional,1.058712579,106377.83,62498.83,23999.92,163.89,19715.19,,,
Boston,Weekly,"2023-01-15 00:00:00",Conventional,1.370914387,613808.74,61403.43,385750.73,118.49,166536.09,,,
Buffalo/Rochester,Weekly,"2023-01-15 00:00:00",Conventional,0.992303909,244926.20,60333.20,59315.26,1086.75,124190.99,,,
Charlotte,Weekly,"2023-01-15 00:00:00",Conventional,0.994172269,464411.92,192722.93,95659.74,1124.49,174904.77,,,
Chicago,Weekly,"2023-01-15 00:00:00",Conventional,0.912713556,1357538.31,773542.51,142925.47,141052.10,300018.23,,,
Cincinnati/Dayton,Weekly,"2023-01-15 00:00:00",Conventional,1.028836845,337035.39,99125.67,173668.06,15322.07,48919.58,,,
Columbus,Weekly,"2023-01-15 00:00:00",Conventional,0.965174037,294508.75,186337.97,41828.04,12518.39,53824.34,,,
